Input	Output
3721  1.90215264187867      0.08681672025723548	3722  1.90215264187867      0.08681672025723548
3722  1.90215264187867      0.08681672025723548	3723  1.90215264187867      0.08681672025723548
3723  1.90215264187867      0.08681672025723548	3724  1.90215264187867      0.09032258064516274
3724  1.90215264187867      0.09032258064516274	3725  1.90215264187867        0.089743589743591
3725  1.90215264187867        0.089743589743591	3726  1.90215264187867      0.09265175718850023
3726  1.90215264187867      0.09265175718850023	3727  1.90215264187867      0.09324758842443925
3727  1.90215264187867      0.09324758842443925	3728  1.90215264187867      0.09615384615384868
3728  1.90215264187867      0.09615384615384868	3729  1.90215264187867      0.09615384615384868
3729  1.90215264187867      0.09615384615384868	3730  1.90215264187867      0.09324758842443925
3730  1.90215264187867      0.09324758842443925	3731  1.90215264187867      0.09615384615384868
3731  1.90215264187867      0.09615384615384868	3732  1.90215264187867      0.10032362459546901
3732  1.90215264187867      0.10032362459546901	3733  1.90215264187867      0.10032362459546901
3733  1.90215264187867      0.10032362459546901	3734  1.90215264187867      0.10322580645161322
3734  1.90215264187867      0.10322580645161322	3735  1.90215264187867      0.10610932475884183
3735  1.90215264187867      0.10610932475884183	3736  1.90215264187867      0.10032362459546901
3736  1.90215264187867      0.10032362459546901	3737  1.90215264187867      0.10032362459546901
3737  1.90215264187867      0.10032362459546901	3738  1.90215264187867      0.10032362459546901
3738  1.90215264187867      0.10032362459546901	3739  1.90215264187867      0.10032362459546901
3739  1.90215264187867      0.10032362459546901	3740  1.90215264187867      0.10322580645161172
3740  1.90215264187867      0.10322580645161172	3741  1.86692759295499      0.06410256410256364
3741  1.86692759295499      0.06410256410256364	3742  1.86692759295499      0.06070287539936165
3742  1.86692759295499      0.06070287539936165	3743  1.86692759295499      0.05769230769230923
3743  1.86692759295499      0.05769230769230923	3744  1.86692759295499      0.05769230769230923
3744  1.86692759295499      0.05769230769230923	3745  1.86692759295499     0.054662379421222804
3745  1.86692759295499     0.054662379421222804	3746  1.86692759295499      0.06070287539936165
3746  1.86692759295499      0.06070287539936165	3747  1.86692759295499     0.044585987261147104
3747  1.86692759295499     0.044585987261147104	3748  1.86692759295499     0.047923322683707345
3748  1.86692759295499     0.047923322683707345	3749  1.86692759295499     0.044585987261147104
3749  1.86692759295499     0.044585987261147104	3750  1.86692759295499     0.047923322683707345
3750  1.86692759295499     0.047923322683707345	3751  1.86692759295499     0.047923322683707345
3751  1.86692759295499     0.047923322683707345	3752  1.86692759295499     0.047923322683707345
3752  1.86692759295499     0.047923322683707345	3753  1.86692759295499     0.047923322683707345
3753  1.86692759295499     0.047923322683707345	3754  1.86692759295499      0.05431309904153441
3754  1.86692759295499      0.05431309904153441	3755  1.86692759295499      0.05732484076433117
3755  1.86692759295499      0.05732484076433117	3756  1.86692759295499      0.05732484076433117
3756  1.86692759295499      0.05732484076433117	3757  1.86692759295499      0.05732484076433117
3757  1.86692759295499      0.05732484076433117	3758  1.86692759295499      0.05732484076433117
3758  1.86692759295499      0.05732484076433117	3759  1.86692759295499      0.06070287539935989
3759  1.86692759295499      0.06070287539935989	3760  1.86692759295499      0.06410256410256364
3760  1.86692759295499      0.06410256410256364	3761  1.86692759295499      0.06410256410256364
3761  1.86692759295499      0.06410256410256364	3762  1.86692759295499      0.06709265175718714
3762  1.86692759295499      0.06709265175718714	3763  1.86692759295499      0.06709265175718714
3763  1.86692759295499      0.06709265175718714	3764  1.86692759295499      0.06709265175718714
3764  1.86692759295499      0.06709265175718714	3765  1.86692759295499      0.07301587301587284
3765  1.86692759295499      0.07301587301587284	3766  1.86692759295499      0.07987220447284456
3766  1.86692759295499      0.07987220447284456	3767  1.86692759295499      0.07987220447284456
3767  1.86692759295499      0.07987220447284456	3768  1.86692759295499       0.0833333333333334
3768  1.86692759295499       0.0833333333333334	3769  1.86692759295499      0.08626198083067149
3769  1.86692759295499      0.08626198083067149	3770  1.86692759295499      0.08626198083067149
3770  1.86692759295499      0.08626198083067149	3771  1.86692759295499      0.08626198083067149
3771  1.86692759295499      0.08626198083067149	3772  1.86692759295499      0.08626198083067149
3772  1.86692759295499      0.08626198083067149	3773  1.86692759295499        0.089743589743591
3773  1.86692759295499        0.089743589743591	3774  1.86692759295499      0.09904153354632571
3774  1.86692759295499      0.09904153354632571	3775  1.86692759295499      0.09615384615384542
3775  1.86692759295499      0.09615384615384542	3776  1.86692759295499      0.09904153354632571
3776  1.86692759295499      0.09904153354632571	3777  1.86692759295499      0.10256410256410309
3777  1.86692759295499      0.10256410256410309	3778  1.86692759295499      0.10256410256410309
3778  1.86692759295499      0.10256410256410309	3779  1.86692759295499      0.10256410256410309
3779  1.86692759295499      0.10256410256410309	3780  1.86692759295499      0.10256410256410309
3780  1.86692759295499      0.10256410256410309	3781  1.86692759295499      0.10256410256410309
3781  1.86692759295499      0.10256410256410309	3782  1.86692759295499      0.10256410256410309
3782  1.86692759295499      0.10256410256410309	3783  1.86692759295499      0.10256410256410309
3783  1.86692759295499      0.10256410256410309	3784  1.86692759295499      0.10543130990415446
3784  1.86692759295499      0.10543130990415446	3785  1.86692759295499      0.10543130990415446
3785  1.86692759295499      0.10543130990415446	3786  1.86692759295499      0.10967741935483871
3786  1.86692759295499      0.10967741935483871	3787  1.86692759295499      0.10543130990415446
3787  1.86692759295499      0.10543130990415446	3788  1.86692759295499      0.10543130990415446
3788  1.86692759295499      0.10543130990415446	3789  1.86692759295499      0.11254019292604558
3789  1.86692759295499      0.11254019292604558	3790  1.86692759295499      0.11254019292604558
3790  1.86692759295499      0.11254019292604558	3791  1.86692759295499      0.10543130990415446
3791  1.86692759295499      0.10543130990415446	3792  1.86692759295499      0.09904153354632571
3792  1.86692759295499      0.09904153354632571	3793  1.86692759295499      0.08626198083067149
3793  1.86692759295499      0.08626198083067149	3794  1.86692759295499      0.08626198083067149
3794  1.86692759295499      0.08626198083067149	3795  1.86692759295499      0.08280254777070054
3795  1.86692759295499      0.08280254777070054	3796  1.86692759295499      0.07692307692307572
3796  1.86692759295499      0.07692307692307572	3797  1.86692759295499       0.0764331210191087
3797  1.86692759295499       0.0764331210191087	3798  1.86692759295499      0.07051282051281975
3798  1.86692759295499      0.07051282051281975	3799  1.86692759295499      0.06709265175718714
3799  1.86692759295499      0.06709265175718714	3800  1.86692759295499      0.06410256410256364
3800  1.86692759295499      0.06410256410256364	3801  1.86692759295499      0.06410256410256364
3801  1.86692759295499      0.06410256410256364	3802  1.86692759295499      0.05769230769230923
3802  1.86692759295499      0.05769230769230923	3803  1.86692759295499      0.05128205128205155
3803  1.86692759295499      0.05128205128205155	3804  1.86692759295499      0.05128205128205155
3804  1.86692759295499      0.05128205128205155	3805  1.86692759295499     0.047923322683707345
3805  1.86692759295499     0.047923322683707345	3806  1.86692759295499      0.04516129032257969
3806  1.86692759295499      0.04516129032257969	3807  1.86692759295499      0.05128205128205155
3807  1.86692759295499      0.05128205128205155	3808  1.86692759295499     0.054662379421222804
3808  1.86692759295499     0.054662379421222804	3809  1.86692759295499      0.05128205128205155
3809  1.86692759295499      0.05128205128205155	3810  1.86692759295499      0.05128205128205155
3810  1.86692759295499      0.05128205128205155	3811  1.86692759295499      0.05128205128205155
3811  1.86692759295499      0.05128205128205155	3812  1.86692759295499      0.05128205128205155
3812  1.86692759295499      0.05128205128205155	3813  1.86692759295499     0.041800643086816774
3813  1.86692759295499     0.041800643086816774	3814  1.86692759295499      0.03846153846153785
3814  1.86692759295499      0.03846153846153785	3815  1.86692759295499      0.03514376996804985
3815  1.86692759295499      0.03514376996804985	3816  1.86692759295499      0.03536977491961453
3816  1.86692759295499      0.03536977491961453	3817  1.86692759295499      0.03205128205128178
3817  1.86692759295499      0.03205128205128178	3818  1.86692759295499      0.02875399361022272
3818  1.86692759295499      0.02875399361022272	3819  1.86692759295499      0.02875399361022272
3819  1.86692759295499      0.02875399361022272	3820  1.86692759295499     0.022364217252395614
3820  1.86692759295499     0.022364217252395614	3821  1.86692759295499     0.022364217252395614
3821  1.86692759295499     0.022364217252395614	3822  1.86692759295499     0.019230769230768052
3822  1.86692759295499     0.019230769230768052	3823  1.86692759295499     0.019230769230768052
3823  1.86692759295499     0.019230769230768052	3824  1.86692759295499     0.019230769230768052
3824  1.86692759295499     0.019230769230768052	3825  1.86692759295499     0.016077170418006267
3825  1.86692759295499     0.016077170418006267	3826  1.86692759295499     0.016077170418006267
3826  1.86692759295499     0.016077170418006267	3827  1.86692759295499     0.016077170418006267
3827  1.86692759295499     0.016077170418006267	3828  1.86692759295499     0.012820512820512013
3828  1.86692759295499     0.012820512820512013	3829  1.86692759295499     0.006451612903225325
3829  1.86692759295499     0.006451612903225325	3830  1.86692759295499     0.006451612903225325
3830  1.86692759295499     0.006451612903225325	3831  1.86692759295499    0.0032154340836018517
3831  1.86692759295499    0.0032154340836018517	3832  1.86692759295499   -7.273384174146855e-17
3832  1.86692759295499   -7.273384174146855e-17	3833  1.86692759295499   -7.273384174146855e-17
3833  1.86692759295499   -7.273384174146855e-17	3834  1.86692759295499   -7.273384174146855e-17
3834  1.86692759295499   -7.273384174146855e-17	3835  1.86692759295499   -7.273384174146855e-17
3835  1.86692759295499   -7.273384174146855e-17	3836  1.86692759295499    -0.003215434083601998
3836  1.86692759295499    -0.003215434083601998	3837  1.86692759295499      0.05128205128205155
3837  1.86692759295499      0.05128205128205155	3838  1.86692759295499      0.05128205128205155
3838  1.86692759295499      0.05128205128205155	3839  1.86692759295499      0.05128205128205155
3839  1.86692759295499      0.05128205128205155	3840  1.86692759295499      0.05128205128205155
3840  1.86692759295499      0.05128205128205155	3841  1.86692759295499     0.047923322683707345
3841  1.86692759295499     0.047923322683707345	3842  1.86692759295499     0.044585987261147104
3842  1.86692759295499     0.044585987261147104	3843  1.86692759295499       0.0415335463258786
